date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital
2014-06-30,SER EDUCACIONAL S.A.,BRL,423483809.4373041,213779917.3441119,423483809.4373041,54083291.70262046,95721876.56115173,254205004.7686089,0.0,75456651.07407239,28618011.717153363,229695263.1817975,351636000.0
2014-09-30,SER EDUCACIONAL S.A.,BRL,399144221.351616,181800930.460333,399144221.351616,54394384.590270974,87859125.04080966,241652791.380999,0.0,92945233.43127652,58747959.516813576,274348677.7668952,312197000.0
2013-12-31,YDUQS PARTICIPACOES S.A.,BRL,2739518787.3612294,1626815969.2570453,2739518787.3612294,371616994.0222032,704285226.3023057,1944033304.8676343,0.0,0.0,0.0,0.0,2939676000.0
2014-03-31,YDUQS PARTICIPACOES S.A.,BRL,1027500884.0169731,630824787.8359264,1027500884.0169731,152424858.5572843,247567185.28995755,728041902.4045261,0.0,55587429.27864215,17509282.17821782,237891177.5106082,1082332000.0
2014-06-30,YDUQS PARTICIPACOES S.A.,BRL,1073626867.7051636,662738089.8315091,1073626867.7051636,123273082.33798082,244337163.35891727,795659657.5684636,0.0,135210954.17593893,60432808.02942912,779535401.2443798,1187848000.0
2014-09-30,YDUQS PARTICIPACOES S.A.,BRL,1294731064.31603,494674338.8834476,1294731064.31603,139784116.87887692,237406137.77342474,987905648.05746,0.0,194977554.6849494,253116634.01893568,969982043.7479595,869623000.0
2014-12-31,COGNA EDUCAÇÃO S.A.,BRL,17494554902.846813,1638692950.7455943,17494554902.846813,1068577722.5485766,1118676005.4225035,12930872119.295074,0.0,0.0,0.0,0.0,1513998000.0
2015-03-31,COGNA EDUCAÇÃO S.A.,BRL,4922734613.705806,525771653.0523166,4922734613.705806,290040219.49242383,290558396.20876724,3682470536.8834577,0.0,115901664.89991894,19513936.521793354,401532393.8392468,756085000.0
2015-06-30,COGNA EDUCAÇÃO S.A.,BRL,5314458557.65821,669964860.2469454,5314458557.65821,351397852.92885005,300456494.406654,3917766530.191173,0.0,388161771.81727326,96773912.76314516,1325073342.1451368,988163000.0
2015-09-30,COGNA EDUCAÇÃO S.A.,BRL,4155574492.7244344,534403101.55581284,4155574492.7244344,282405468.0026182,223635516.84205225,3094877649.6651726,0.0,355844368.3601027,174567242.33422282,1301206384.371381,1000985000.0
2014-12-31,SER EDUCACIONAL S.A.,BRL,1411164708.5404427,405960234.97514683,1411164708.5404427,222185946.67871666,243870311.79394487,707921373.7008586,0.0,0.0,0.0,0.0,488031000.0
2015-03-31,SER EDUCACIONAL S.A.,BRL,468204152.8964271,115321444.16037914,468204152.8964271,73997318.7005051,76378375.00779448,219267631.10307416,0.0,25829020.390347324,2978736.6714472785,84023819.91644323,132543000.0
2015-06-30,SER EDUCACIONAL S.A.,BRL,497657887.10145396,133252522.64740965,497657887.10145396,77332602.59840743,77261678.32618718,241247300.04190978,0.0,58304909.89393597,6634965.666204584,263008478.67436087,173458000.0
2015-09-30,SER EDUCACIONAL S.A.,BRL,464014903.5798801,176797492.573385,464014903.5798801,62856603.39358541,157190977.29218066,194471829.21303055,0.0,45355722.269774936,21297014.24903076,258097276.06867728,452596000.0
2014-12-31,YDUQS PARTICIPACOES S.A.,BRL,3969934478.0840487,1667137370.0858562,3969934478.0840487,450480117.48757344,1331163578.8522367,2703185720.7410755,0.0,0.0,0.0,0.0,3230955000.0
