date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital,country,debt_to_assets,debt_to_equity,roa,debt_change,log_total_assets
2023-09-30,SER EDUCACIONAL S.A.,BRL,684660675.0549232,145988815.6580787,684660675.0549232,129757339.72438589,241909127.22188935,240422408.62792093,0.0,-14080886.758538049,28602756.14140204,352941481.9253046,81271000.0,Brazil,0.35332703634904034,1.006183777138134,-0.02056622685012322,-16798796.241357267,20.344433908609457
2023-12-31,SER EDUCACIONAL S.A.,BRL,2162249054.888756,541984423.7403681,2162249054.888756,406819261.6770302,802859297.2090813,749573615.3862045,0.0,0.0,0.0,0.0,654294000.0,Brazil,0.3713075028955844,1.0710879901974968,0.0,560950169.9871919,21.494414746054606
2024-03-31,SER EDUCACIONAL S.A.,BRL,673893826.5673794,150729041.55656978,673893826.5673794,140586916.48650813,246539154.4559212,238602570.2618304,0.0,-3507886.9405076467,13251861.638241652,90222195.53206822,50666000.0,Brazil,0.36584272586635863,1.0332627774519847,-0.005205400023288253,-556320142.7531601,20.328583129119743
2024-06-30,SER EDUCACIONAL S.A.,BRL,631973085.2958639,167467031.28654444,631973085.2958639,131416800.10075022,232314556.60903516,223241638.63051653,0.0,14435708.759872625,18905780.54441106,272614288.5414605,200378000.0,Brazil,0.36760197865115574,1.0406416922675212,0.022842284103150402,-14224597.846886039,20.264357364647122
2024-09-30,SER EDUCACIONAL S.A.,BRL,628634786.5993575,157750711.335475,628634786.5993575,134912161.54199174,220557136.30105555,225531711.7944011,0.0,4907755.85130794,34950160.62413952,354693162.00091785,124413000.0,Brazil,0.3508509885273361,0.9779429001191616,0.00780700647804869,-11757420.307979614,20.259061020598264
2010-03-31,STRA,USD,437051000.0,334592000.0,231251000.0,219078000.0,12173000.0,205800000.0,10470000.0,36379000.0,63107000.0,157901000.0,115514000.0,USA,0.027852584709793595,0.059149659863945575,0.08323742538056199,,19.89556045105588
2010-06-30,STRA,USD,442625000.0,331851000.0,215464000.0,203295000.0,12169000.0,227161000.0,10427000.0,35657000.0,24747000.0,159283000.0,128556000.0,USA,0.02749279864445072,0.053569934980036184,0.0805580344535442,-4000.0,19.908233468396343
2011-03-31,STRA,USD,237617000.0,108220000.0,164314000.0,71166000.0,108447000.0,73303000.0,13174000.0,35791000.0,67172000.0,171956000.0,37054000.0,USA,0.45639411321580525,1.479434675252036,0.15062474486253088,96278000.0,19.28617069171482
2011-06-30,STRA,USD,235178000.0,108735000.0,59174000.0,46530000.0,115000000.0,176004000.0,12009000.0,29647000.0,20261000.0,163789000.0,62205000.0,USA,0.48899131721504563,0.6533942410399763,0.12606196157803876,6553000.0,19.275853232198884
2011-09-30,STRA,USD,224205000.0,91056000.0,180455000.0,82889000.0,105000000.0,43750000.0,11978000.0,13935000.0,35316000.0,135865000.0,8167000.0,USA,0.46832140228808455,2.4,0.06215294038937579,-10000000.0,19.22807136987016
2011-12-31,STRA,USD,231133000.0,94668000.0,188840000.0,77184000.0,117500000.0,42293000.0,11944000.0,26671000.0,31614000.0,155824000.0,17484000.0,USA,0.5083653134775216,2.7782375333979616,0.11539243638943812,12500000.0,19.258503860377026
2012-03-31,STRA,USD,224234000.0,89389000.0,168208000.0,83890000.0,92500000.0,56026000.0,11865000.0,23989000.0,36482000.0,149532000.0,5499000.0,USA,0.41251549720381386,1.651019169671224,0.10698199202618693,-25000000.0,19.228200707416807
2012-06-30,STRA,USD,220143000.0,84930000.0,150896000.0,59199000.0,100000000.0,69247000.0,11872000.0,21212000.0,6179000.0,146254000.0,25731000.0,USA,0.4542501919207061,1.4441058818432568,0.09635555071022017,7500000.0,19.209787893158133
2012-09-30,STRA,USD,231614000.0,91937000.0,166621000.0,71806000.0,102500000.0,64993000.0,11872000.0,4102000.0,14585000.0,124260000.0,20131000.0,USA,0.4425466508932966,1.577092917698829,0.01771050109233466,2500000.0,19.26058275088623
2012-12-31,STRA,USD,227792000.0,89655000.0,186804000.0,43024000.0,125000000.0,40988000.0,11719000.0,16627000.0,24816000.0,141933000.0,46631000.0,USA,0.5487462246259746,3.049673075046355,0.07299202781484863,22500000.0,19.243943489835665
2013-03-31,STRA,USD,216027000.0,84995000.0,183704000.0,39417000.0,124219000.0,32323000.0,0.0,17231000.0,31393000.0,137506000.0,45578000.0,USA,0.575016085952219,3.8430529344429663,0.07976317775092928,-781000.0,19.19091395783659
2013-06-30,STRA,USD,229822000.0,102259000.0,178867000.0,35961000.0,123438000.0,50955000.0,0.0,15002000.0,20185000.0,131980000.0,66298000.0,USA,0.5371026272506548,2.422490432734766,0.06527660537285378,-781000.0,19.252815654218693
2013-09-30,STRA,USD,240951000.0,118316000.0,183986000.0,43049000.0,122656000.0,56965000.0,0.0,3149000.0,20583000.0,110031000.0,75267000.0,USA,0.5090495577939083,2.1531817782849116,0.013069047233669917,-782000.0,19.300104151280642
2013-12-31,STRA,USD,254266000.0,127340000.0,215364000.0,45158000.0,121875000.0,38902000.0,47328000.0,-18957000.0,11932000.0,124084000.0,82182000.0,USA,0.4793208686965619,3.1328723458948127,-0.07455578016722644,-781000.0,19.353891521099747
2014-03-31,STRA,USD,277614000.0,157776000.0,223447000.0,55574000.0,121094000.0,54167000.0,0.0,14783000.0,33217000.0,116468000.0,102202000.0,USA,0.4361955809145072,2.235567781121347,0.05325019631574777,-781000.0,19.441742217601917
2014-06-30,STRA,USD,282193000.0,166483000.0,212230000.0,49256000.0,120313000.0,69963000.0,0.0,13677000.0,11980000.0,112747000.0,117227000.0,USA,0.42635005120608943,1.719666109229164,0.04846682943942621,-781000.0,19.458101791972574
2014-09-30,STRA,USD,295484000.0,182680000.0,217766000.0,58761000.0,119532000.0,77718000.0,0.0,4953000.0,16916000.0,100756000.0,123919000.0,USA,0.4045295176726997,1.5380220798270672,0.016762328924747195,-781000.0,19.50412524782843
2014-12-31,STRA,USD,307815000.0,196651000.0,215083000.0,56335000.0,118750000.0,92732000.0,11416000.0,12943000.0,15437000.0,116070000.0,140316000.0,USA,0.38578366876208114,1.2805719708407022,0.042047983366632555,-782000.0,19.545009511125112
2015-03-31,STRA,USD,327778000.0,217583000.0,221415000.0,63558000.0,117188000.0,106363000.0,0.0,11385000.0,30392000.0,111885000.0,154025000.0,USA,0.3575224694762919,1.1017741131784549,0.03473387475669508,-1562000.0,19.607847107927793
2015-06-30,STRA,USD,336003000.0,225299000.0,215347000.0,60474000.0,115625000.0,120656000.0,0.0,11874000.0,13064000.0,109750000.0,164825000.0,USA,0.34411895131888703,0.9583029439066437,0.03533897018776618,-1563000.0,19.63263064645905
